Model Variant,Components Used,Accuracy (%),Precision (%),Recall (%),F1-score (%),AUC-ROC,RMSE
Baseline (Logistic Regression),Baseline,83.9,100.0,68.86,81.56,0.8443,0.3478
Temporal Only,Temporal,77.7,81.41,73.69,77.36,0.8379,0.3968
Spatial + Temporal,Spatial+Temporal,83.8,99.72,68.86,81.46,0.8326,0.3532
Spatial + Temporal + Behavior,Spatial+Temporal+Behavior,83.5,98.62,69.05,81.23,0.8381,0.3548
Hybrid Spatio-Temporal + Behavior + Incentive Model,Spatial+Temporal+Behavior+Incentive,91.7,99.32,84.53,91.33,0.9612,0.2573
